,0
0,7
1,8
2,9
3,10
4,11
5,12
6,13
7,14
8,15
9,16
10,17
11,18
12,19
13,20
14,21
15,22
16,23
17,24
18,25
19,26
20,27
21,28
22,29
23,30
24,31
25,32
26,33
27,34
28,35
29,36
30,37
31,38
32,39
33,40
34,41
35,42
36,43
37,44
38,45
39,46
40,47
41,48
42,49
43,50
44,51
45,52
46,53
47,54
48,55
49,56
50,57
51,58
52,59
53,60
54,61
55,62
56,63
57,64
58,65
59,66
60,67
61,68
62,69
63,70
64,71
65,72
,0
0,0.988419235243
1,0.976893473579
2,0.972510678101
3,1.02408448021
4,1.04872807491
5,1.05903258827
6,1.09719169476
7,1.08950965561
8,1.09116625148
9,1.10107626736
10,1.11508853125
11,1.11790217676
12,1.09695368789
13,1.08233674805
14,1.06847040329
15,1.10812050297
16,1.10640090743
17,1.10184999558
18,1.09297400674
19,1.08224466296
20,1.09185030247
21,1.09945783029
22,1.08287166106
23,1.08411693946
24,1.08122577286
25,1.08046414377
26,1.06831477497
27,1.06324899166
28,1.06086399262
29,1.06238126373
30,1.05699131753
31,1.05044824322
32,1.04581826116
33,1.06887125946
34,1.06792769145
35,1.07791909662
36,1.07379783885
37,1.07584680005
38,1.07924779004
39,1.07729811926
40,1.07850239081
41,1.08251694026
42,1.09048844755
43,1.08970515781
44,1.08315283084
45,1.07827925459
46,1.08601431641
47,1.09074826332
48,1.08804610342
49,1.09039973451
50,1.09196837831
51,1.08919854022
52,1.0868610494
53,1.08775347997
54,1.08153609251
55,1.07957549745
56,1.07780904687
57,1.07348948621
58,1.07217221865
59,1.07784725669
60,1.08016226204
61,1.07787249178
62,1.07329557348
63,1.07593802012
64,1.08385793392
65,1.08371958783
,0
0,1.17549878922
1,1.17546858777
2,1.17552994089
3,1.17545390152
4,1.17544377766
5,1.17542378105
6,1.17532684897
7,1.17542924188
8,1.17539333754
9,1.17549780195
10,1.17555351756
11,1.17550285146
12,1.17552963577
13,1.1755421309
14,1.17542114685
15,1.17535343492
16,1.17531952292
17,1.17538381149
18,1.17534725197
19,1.17523306389
20,1.17523895153
21,1.17537008027
22,1.17537630043
23,1.17540799041
24,1.17544233318
25,1.1752514509
26,1.1752006943
27,1.1752744997
28,1.17525216081
29,1.1752090301
30,1.17515547516
31,1.17522650168
32,1.1752522485
33,1.17527606844
34,1.17523453213
35,1.17513786715
36,1.17508409413
37,1.17489962186
38,1.17507275528
39,1.17495678743
40,1.17504762527
41,1.17507782345
42,1.17495107474
43,1.17478238803
44,1.1747797652
45,1.17477719744
46,1.17475949912
47,1.17451617598
48,1.17442315302
49,1.17442995133
50,1.17440153863
51,1.1744371369
52,1.17445716775
53,1.17439078225
54,1.17446117763
55,1.17450951813
56,1.17437293107
57,1.17442026122
58,1.17442020299
59,1.17433553289
60,1.17414525585
61,1.17409145368
62,1.17404777179
63,1.17397609299
64,1.17384065677
65,1.17381422886
